id,clean_token,cluster
1,active classic boxer reason boxer cult favorite cool especially sticky situation quick lightweight underwear take minimal space travel pack expose brush waistband offer skin softness panel construction traditional boxer classic functional      recycle polyester moisture wicke performance inseam size         recyclable common thread recycle program detail silky capilene fabric ultralight breathable quick expose brush elastic waistband comfort panel construction traditional boxer inseam size        fabric      recycle polyester gladiodor natural odor control garment recyclable common thread recycle program weight       mexico,-1
2,active sport boxer brief skin glory require movement boxer decide poach route form active sport boxer brief breathable polyester      recycle fabric fast wicking quickly spandex stretch seamless waistband soft edge will roll bind gussete flat inseam size offset prevent inner thigh chafe free smooth panel recyclable common thread recycle program detail stretch mesh provide support open weave mesh airflow wick efficiently fast seamless construction flat gussete inseam forward prevent inner thigh chafe free support inseam size fabric      polyester      recycle spandex moisture wicke performance recyclable common thread recycle program weight      israel,-1
3,active sport brief superbreathable brief minimalist choice high octane endeavor blend fast wicking quick polyester      recycle spandex stretch mesh support open mesh cool airflow soft edging opening seamless waist will roll create friction layer smooth panel opacity recyclable common thread recycle program detail stretch mesh provide support open weave mesh airflow wick efficiently fast seamless construction opening half inch self bind comfort free support fabric      polyester      recycle spandex moisture wicke performance recyclable common thread recycle program weight      israel,-1
4,alpine guide pant skin climb switch rock traverse knife edge ridge boogie durable weather resistant breathable soft shell pant stride mountain endeavor midweight stretch woven polyester will restrict move brushed interior maintain skin comfort zipper keep thing easy harness gussete zippered cuff position snap loop water resistant zippered pocket thigh recyclable common thread recycle program detail durable stretch weave polyester      recycle durable water repellent finish water wind resistant highly breathable brush interior skin comfort waistband belt loop elastic zipper external pocket slash glue thigh highly water resistant finish zippers gussete zipper cuff position adjustable setting loops fabric      deni polyester      recycle spandex deluge finish recyclable common thread recycle program weight      vietnam,0
5,alpine wind high ridge steep alpine jacket serve true good world staple excel stand shell blustery rock climb cool weather trail high output tour condition alpine climb function lightly insulated windshirt approach frictionless midlayer time bundle polyester ripstop shell deluge durable water repellent treatment shed snow block wind smooth lightly brush hang mesh liner wick moisture fast bind baselayer superlight stretch woven underarm panel enhance breathability allow unimpaired motion hand pocket close zipper drawcord elastic cuff heat transfer reflective logo regular coil center zipper finish round feature update season improve recyclable common thread recycle program detail lightweight breathable polyester ripstop fabric deluge durable water repellent finish slightly brush polyester mesh liner wick moisture fast stretch weave underarm panel provide breathability stretch unimpeded range motion finish center zipper elastic cuff pocket exterior chest zipper handwarmer drawcord reflective heat transfer logo fabric shell       deni polyester ripstop panel       deni recycle polyester spandex shell panel deluge durable water repellent finish lining      polyester brush tricot mesh recyclable common thread recycle program weight      china,0
6,ascensionist technical soft shell mountain pursuit strike alpinist balance protection minimalism dense stretch polyester double weave stitchless seam exceptional water wind resistance rapid time superb breathability pare detail provide need adjustable helmet compatible hood reverse coil center zipper durable water repellent finish large external handwarmer pocket zipper garage place harness line internal security pocket articulate self fabic cuff tabs drawcord recyclable common thread recycle program detail dense stretchy polyester double weave fabric exceptionally water wind resistant spandex free fast time stitch free glue seam speed time improve water resistance decrease bulk helmet compatible adjustable hood brush chamois patch chin neck comfort durable water repellent finish center zipper external pocket handwarmer skin zipper garage finish zippers internal security pocket articulate arms profile laminate self fabric cuff tabs drawcord fabric      polyester      recycle double weave stretch deluge finish recyclable common thread recycle program weight      china,0
7,atom multitasker cloud atom play courier daypack carry teardrop shape provide support daypack position load shoulder single strap design make good simple spin large zippered main pocket internal zippered mesh stretch weave pocket convenient zippered pocket shoulder strap line protect valuable breathable moisture move spacer mesh shoulder strap panel denier double weave recycle polyester polyurethane coating durable water repellent finish detail atom spin chest easy access main zippered pocket internal zippered mesh stretch woven organizer pocket small zippered pocket essential zipper pocket shoulder strap line protect cell phone sunglass teardrop shape position weight shoulder ease stress neck spacer mesh shoulder strap panel wick moisture quickly allow circulation waistbelt secure pack torso fabric      deni recycle polyester double weave lining       deni polyester polyurethane coating durable water repellent finish shoulder strap      polyester spacer mesh weight      vietnam,1
8,print band betina full coverage bottom betina high slightly scoop lined blend nylon spandex detail full coverage high coverage regular rise improve fabric fabric      nylon spandex weight     ,-1
9,baby micro luxe cardigan micro luxe heavenly soft fabric earth application cardigan quick durable      polyester      recycle microdeni fleece lightweight breathable work midlayer wind flap back hood cover elastic trim bundle baby deep warmth slash style patch pocket color coordinating elbow patch soft self fabric cuff recyclable common thread recycle program detail soft microdeni fleece recycle polyester durable quick hood stay secure cover elastic inside neck tape clean finish handwarmer patch pocket back wind flap soft self fabric cuff fabric      microdeni polyester      recycle fleece recyclable common thread recycle program weight      costa rica,-1
10,baby bucket rise horizon stay raindrop start fall ultra durable       supplex nylon fabric durable water repellent finish reverse contrast solid color print soft tuck away chin strap hook loop fastener hold securely chafe young jawline pack small easy care detail lightweight supplex nylon soft fast pack small easy care brim shield head neck chin strap hook loop fastener tuck away reversible style print solid combination colorway print side fabric       supplex nylon durable water repellent finish weight      china,-1
